مشخصه,نام درس,مقطع کلاس,نظری,نوع عملی,نوع عملی,جنسیت,گروه کلاس,باقي مانده,ساعت کلاس,ساعت امتحان,ت امتحان,نام استاد,گروه بندی,,,,
92023,طراحي كامپيوتري سيستم هاي ديجيتال,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه11:30 10:45 کلاس 304f يکشنـــبه14:00 12:30 کلاس 304f,08:15,21/10/98,خورشيد طلب آيدا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91213,طراحي كامپيوتري سيستم هاي ديجيتال,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه10:30 08:15 کلاس 302f,08:15,21/10/98,شميراني حميدرضالطفعلي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91214,طراحي كامپيوتري سيستم هاي ديجيتال,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه16:30 14:15 کلاس 302f,08:15,21/10/98,شميراني حميدرضالطفعلي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11064,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,4,چهار شنبه10:30 08:15 کلاس 5علوم,13:45,18/10/98,دژم لعيا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11065,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,20,چهار شنبه11:30 10:45 کلاس 5علوم چهار شنبه14:00 12:30 کلاس 5علوم,13:45,18/10/98,دژم لعيا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11066,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,24,چهار شنبه19:00 16:45 کلاس 5علوم,16:00,17/10/98,دژم لعيا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11069,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه11:30 10:45 کلاس 8علوم دوشـــنبه14:00 12:30 کلاس 8علوم,10:45,18/10/98,جعفري علي ملك رويا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11070,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,18,دوشـــنبه19:00 16:45 کلاس 8علوم,10:45,18/10/98,دقيق حميده,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11071,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه11:30 10:45 کلاس 5علوم سه شنبــه14:00 12:30 کلاس 5علوم,16:00,18/10/98,قرآن نويس زهره,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11072,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,21,سه شنبــه19:00 16:45 کلاس 5علوم,16:00,18/10/98,طالب تاش محمدرحيم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11073,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,26,سه شنبــه11:30 10:45 کلاس a5 سه شنبــه14:00 12:30 کلاس a5,08:15,18/10/98,بوستان الهام,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11074,فيزيك (1).,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه16:30 14:15 کلاس a5,10:45,18/10/98, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11082,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,16,سه شنبــه19:00 16:45 کلاس a5,16:00,22/10/98,هژبري عليرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11083,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه11:30 10:45 کلاس a5 دوشـــنبه14:00 12:30 کلاس a5,08:15,22/10/98,ايماني خديجه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11084,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه19:00 16:45 کلاس a5,10:45,22/10/98,جمشيدي نوشين,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11085,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه11:30 10:45 کلاس 114b سه شنبــه14:00 12:30 کلاس 114b,10:45,22/10/98,شمس الدين سيده حديث,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11086,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه16:30 14:15 کلاس 114b,16:00,22/10/98,منصفي مهرداد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11087,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه10:30 08:15 کلاس 114b,16:00,22/10/98,ياسريان كيومرث,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11088,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه16:30 14:15 کلاس 114b,13:45,22/10/98,برقعي سيدمجيد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11089,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه10:30 08:15 کلاس 114b,13:45,22/10/98,محمودي داريان معصومه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11090,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,13,دوشـــنبه16:30 14:15 کلاس 114b,13:45,22/10/98,محمودي داريان معصومه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11091,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه10:30 08:15 کلاس 114b,08:15,22/10/98,ايماني خديجه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
10082,فيزيك (2).,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه19:00 16:45 کلاس 114b,10:45,22/10/98,ترابي بشكاني الهه سادات,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91336,كارآموزي,کارشناسي,0,1,تخصصي,مختلط, ,1, ,00:00,/ /, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92077,كارآموزي,کارشناسي,0,1,تخصصي,مختلط, ,0, ,00:00,/ /, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91337,كارآموزي,کارشناسي,0,1,تخصصي,مختلط, ,0, ,00:00,/ /, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91338,كارآموزي,کارشناسي,0,1,تخصصي,مختلط, ,4, ,00:00,/ /, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92078,كارآموزي,کارشناسي,0,1,تخصصي,مختلط, ,1, ,00:00,/ /, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92079,كارآموزي,کارشناسي,0,1,تخصصي,مختلط, ,11, ,00:00,/ /, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91339,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,دوشـــنبه15:45 14:15,00:00,/ /,جليلوند عباس,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92080,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,شنبـــــه15:30 14:00,00:00,/ /,آجرلو شهرام,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92081,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,شنبـــــه14:00 12:30,00:00,/ /,آجرلو شهرام,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92082,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,چهار شنبه15:45 14:15,00:00,/ /,جليلوند عباس,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91344,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,يکشنـــبه11:15 09:45,00:00,/ /,احمدنائيني محمد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92087,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,يکشنـــبه15:45 14:15,00:00,/ /,احمدنائيني محمد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91345,كارگاه كامپيوتر,کارشناسي,0,1,پايه,مختلط, ,0,يکشنـــبه13:00 11:30,00:00,/ /,احمدنائيني محمد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91217,مباحث ويژه1,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه10:30 08:15 کلاس 300f,10:45,24/10/98,نيك روان شلماني عليرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91287,مباحث ويژه1,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه11:30 10:45 کلاس 301f دوشـــنبه14:00 12:30 کلاس 301f,10:45,24/10/98,ملامطلبي مهدي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91219,مباحث ويژه1,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه16:30 14:15,10:45,24/10/98,علي جماعت علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91247,مباني بازيابي اطلاعات و جستجوي وب,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه10:30 08:15 کلاس 303f,10:45,14/10/98,صبوحي هادي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91259,مباني بازيابي اطلاعات و جستجوي وب,کارشناسي,3,0,--,مختلط, ,4,سه شنبــه11:30 10:45 کلاس 301f سه شنبــه14:00 12:30 کلاس 301f,10:45,14/10/98,صبوحي هادي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91275,مباني داده كاوي,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه16:30 14:15 کلاس 300f,10:45,15/10/98,خليليان مجيد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91291,مباني داده كاوي,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه11:30 10:45 کلاس 303f سه شنبــه14:00 12:30 کلاس 303f,10:45,15/10/98,اميني امينه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92018,مباني داده كاوي,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه10:30 08:15 کلاس 300f,10:45,15/10/98,خليليان مجيد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91286,مباني رايانش امن,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه10:30 08:15 کلاس 301f,10:45,11/10/98,ملامطلبي مهدي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92007,مباني كامپيوتر و برنامه سازي,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه16:30 14:15 کلاس 116b,10:45,17/10/98, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92004,مباني كامپيوتر و برنامه سازي,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه11:30 10:45 کلاس 301f شنبـــــه14:00 12:30 کلاس 301f,08:15,17/10/98,حريفي ساسان,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91206,مباني كامپيوتر و برنامه سازي,کارشناسي,3,0,--,مختلط, ,13,شنبـــــه16:30 14:15 کلاس 118b,10:45,17/10/98,محسني محسن,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91200,مباني كامپيوتر و برنامه سازي,کارشناسي,3,0,--,مختلط, ,17,شنبـــــه10:30 08:15 کلاس 116b,08:15,17/10/98,محمدي پرگو ابراهيم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91201,مباني كامپيوتر و برنامه سازي,کارشناسي,3,0,--,مختلط, ,18,شنبـــــه11:30 10:45 کلاس 116b شنبـــــه14:00 12:30 کلاس 116b,08:15,17/10/98,محمدي پرگو ابراهيم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91202,مباني كامپيوتر و برنامه سازي,کارشناسي,3,0,--,مختلط, ,14,شنبـــــه16:30 14:15 کلاس 116b,08:15,17/10/98,محمدي پرگو ابراهيم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91203,مباني كامپيوتر و برنامه سازي,کارشناسي,3,0,--,مختلط, ,18,شنبـــــه11:30 10:45 کلاس 300f شنبـــــه14:00 12:30 کلاس 300f,10:45,17/10/98,ميرحسيني سيد محسن,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91204,مباني كامپيوتر و برنامه سازي,کارشناسي,3,0,--,مختلط, ,18,شنبـــــه16:30 14:15 کلاس 301f,10:45,17/10/98,ميرحسيني سيد محسن,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91248,مباني كامپيوتر و برنامه سازي,کارشناسي,3,0,--,مختلط, ,25,چهار شنبه10:30 08:15,08:15,17/10/98,نحوي بهناز,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91252,مدارهاي الكتريكي,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه16:30 14:15 کلاس 300f,13:45,24/10/98,ميريوسفي ميرهاشم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91253,مدارهاي الكتريكي,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه19:00 16:45,13:45,24/10/98,اسلامي سيد علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91289,مدارهاي الكتريكي,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه11:30 10:45 دوشـــنبه14:00 12:30,13:45,24/10/98,ملهم حسين,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91278,مدارهاي الكتريكي,کارشناسي,3,0,--,مختلط, ,5,دوشـــنبه16:30 14:15 کلاس 118b,13:45,24/10/98,ملهم حسين,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91270,مدارهاي الكتريكي,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه19:00 16:45 کلاس 302f,13:45,24/10/98,ميريوسفي ميرهاشم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91280,مدارهاي منطقي,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه10:30 08:15,13:45,16/10/98,توكلي شهريار,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91281,مدارهاي منطقي,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه11:30 10:45 يکشنـــبه14:00 12:30,13:45,16/10/98,توكلي شهريار,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91346,مدارهاي منطقي,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه11:30 10:45 پنج شنـبه14:00 12:30,13:45,16/10/98,اسلامي سيد علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91256,مدارهاي منطقي,کارشناسي,3,0,--,مختلط, ,8,چهار شنبه11:30 10:45 چهار شنبه14:00 12:30,10:45,16/10/98,فودهء پويا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91215,مدارهاي منطقي,کارشناسي,3,0,--,مختلط, ,1,دوشـــنبه11:30 10:45 دوشـــنبه14:00 12:30,10:45,16/10/98,فودهء پويا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92012,مدارهاي منطقي,کارشناسي,3,0,--,مختلط, ,7,دوشـــنبه16:30 14:15 کلاس 303f,10:45,16/10/98,فودهء پويا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91220,مدارهاي منطقي,کارشناسي,3,0,--,مختلط, ,24,چهار شنبه19:00 16:45 کلاس 303f,10:45,16/10/98,فودهء پويا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91361,مديريت پروژه هاي فناوري اطلاعات,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه16:30 14:15 کلاس 301f,10:45,23/10/98,آجرلو شهرام,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
10161,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه11:30 10:45 کلاس a5 پنج شنـبه14:00 12:30 کلاس a5,10:45,11/10/98,صفري فرزانه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11152,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,24,پنج شنـبه19:00 16:45 کلاس a3,16:00,11/10/98,گودرزي حجت اله,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11153,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه11:30 10:45 کلاس a4 دوشـــنبه14:00 12:30 کلاس a4,10:45,11/10/98,رضابيك سعيده,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11154,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه19:00 16:45 کلاس a4,10:45,11/10/98,دره شيري شايسته,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11155,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,10,شنبـــــه11:30 10:45 کلاس 4علوم شنبـــــه14:00 12:30 کلاس 4علوم,13:45,11/10/98,عزتي رضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11156,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه19:00 16:45 کلاس a4,16:00,11/10/98,يوسفي مهدي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11157,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه11:30 10:45 کلاس a4 چهار شنبه14:00 12:30 کلاس a4,16:00,11/10/98,مقصودي شورابي داود,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11158,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه19:00 16:45 کلاس a4,16:00,11/10/98,دريلي قوجالار حسام الدين,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11159,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,12,پنج شنـبه11:30 10:45 کلاس a4 پنج شنـبه14:00 12:30 کلاس a4,08:15,11/10/98,ارژنگ اصغر,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11160,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه10:30 08:15 کلاس 111b,08:15,11/10/98,حقايقي سميه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11161,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه16:30 14:15 کلاس 111b,08:15,11/10/98,حقايقي سميه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11162,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه10:30 08:15 کلاس a5,10:45,11/10/98,صفري فرزانه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11163,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه19:00 16:45 کلاس a6,08:15,11/10/98,پيرمحمدي سميه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11164,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه10:30 08:15 کلاس a6,13:45,11/10/98,فرخي هرسيني پروانه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11165,معادلات ديفرانسيل,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه16:30 14:15 کلاس a6,13:45,11/10/98,كيايي سيده ندا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91212,معماري كامپيوتر,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه11:30 10:45 کلاس 301f يکشنـــبه14:00 12:30 کلاس 301f,13:45,14/10/98,شميراني حميدرضالطفعلي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91241,معماري كامپيوتر,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه11:30 10:45 کلاس 301f چهار شنبه14:00 12:30 کلاس 301f,13:45,14/10/98,پيشوايي عبدالرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91271,معماري كامپيوتر,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه10:30 08:15 کلاس 301f,13:45,14/10/98,شميراني حميدرضالطفعلي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92039,معماري كامپيوتر,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه11:30 10:45 کلاس 302f شنبـــــه14:00 12:30 کلاس 302f,13:45,14/10/98,شميراني حميدرضالطفعلي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91274,مهندسي اينترنت,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه11:30 10:45 کلاس 303f يکشنـــبه14:00 12:30 کلاس 303f,13:45,15/10/98,فتحي رضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91342,مهندسي اينترنت,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه10:30 08:15 کلاس 300f,13:45,15/10/98,آقابراري سودابه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91343,مهندسي اينترنت,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه11:30 10:45 شنبـــــه14:00 12:30,13:45,15/10/98,آقابراري سودابه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91249,مهندسي نرم افزار,کارشناسي,3,0,--,مختلط, ,3,چهار شنبه11:30 10:45 چهار شنبه14:00 12:30,08:15,22/10/98,نحوي بهناز,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91216,مهندسي نرم افزار,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه11:30 10:45 کلاس 300f دوشـــنبه14:00 12:30 کلاس 300f,08:15,22/10/98,نيك روان شلماني عليرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91257,نظريه زبان ها و ماشين ها,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه10:30 08:15 کلاس 303f,10:45,18/10/98,سرشار محمدرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92035,نظريه زبان ها و ماشين ها,کارشناسي,3,0,--,مختلط, ,10,پنج شنـبه19:15 16:45 کلاس 303f,10:45,18/10/98,محمدزاده جواد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92027,نظريه زبان ها و ماشين ها,کارشناسي,3,0,--,مختلط, ,3,چهار شنبه19:15 16:45 کلاس 116b,10:45,18/10/98,محمدزاده جواد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91250,نظريه زبان ها و ماشين ها,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه10:30 08:15 کلاس 116b,10:45,18/10/98,سرشار محمدرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92054,نظريه زبان ها و ماشين ها,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه11:30 10:45 کلاس 118b سه شنبــه14:00 12:30 کلاس 118b,10:45,18/10/98,سرشار محمدرضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91288,هوش مصنوعي و سيستم هاي خبره,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه11:30 10:45 کلاس 116b دوشـــنبه14:00 12:30 کلاس 116b,10:45,21/10/98, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91237,هوش مصنوعي و سيستم هاي خبره,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه10:30 08:15 کلاس 302f,10:45,21/10/98, ,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91205,هوش مصنوعي و سيستم هاي خبره,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه19:00 16:45 کلاس 301f,10:45,21/10/98,ميرحسيني سيد محسن,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91223,هوش مصنوعي و سيستم هاي خبره,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه16:30 14:15 کلاس 116b,10:45,21/10/98,ميرحسيني سيد محسن,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
